Season,League Average PPG,League Average APG,League Average RPG,League Average SPG,League Average BPG,League Average eFG%,Top 20 PPG Avg,Top 20 APG Avg,Top 20 RPG Avg,Top 20 SPG Avg,Top 20 BPG Avg,Top 20 eFG% Avg
1998-99,7.340789386364906,1.6493281842738663,3.4160534512716243,0.6734807591815726,0.3992425771374028,0.4383054963260432,21.322962156538672,7.398083947866584,10.688538291770469,2.082890388266219,2.2645087709404836,0.7127757336668034
1999-00,7.972834990871958,1.8471618036044295,3.6418376200328555,0.6708744377428367,0.4262970826229829,0.4537569929051135,23.320127868845635,7.645013447073703,10.560313597414403,1.8535651393543051,2.2181289800064716,0.61693444422724
2000-01,7.80805721809256,1.8186848620561173,3.6153005464587,0.6693880053594048,0.43808818191529225,0.44867807771424595,24.780780085428194,7.441784823164146,11.015660641316966,1.9009121884793483,2.3230429030588833,0.6366677969480039
2001-02,7.982396273593544,1.8413069973031575,3.6334478204667553,0.6670626775942035,0.44718252766738736,0.45298371919915115,23.68583648214853,7.538742807598901,10.472565854462017,1.9098732236820255,2.163760716010061,0.5841567279137295
2002-03,7.845565041252776,1.782722842579823,3.5948491970113348,0.6697047444814344,0.43141680399665405,0.4423277595935358,23.806129227674184,6.786237736414174,10.206307798085074,1.8839919028685927,2.151734691387628,0.5713411719612317
2003-04,7.742684622731309,1.7577938177234669,3.584254444815006,0.6673678492270856,0.4161802244911957,0.44657866798009926,22.489899450126266,6.729440534249607,10.522711864165139,1.8386510458325886,2.2526024180694684,0.5967434137333496
2004-05,8.086622057990791,1.7719562826328152,3.576910706992132,0.6451362380441846,0.41341112034577754,0.46000167296983796,24.390449189411388,7.149442040860883,10.267605022571207,1.8569735340581321,2.135865771251359,0.6411283321063429
2005-06,7.982038321677068,1.6877542424392922,3.4861948008104804,0.6017824212572446,0.3974110624447746,0.4665559267149718,25.655427561302936,7.293104896203642,10.248720626095807,1.8772559802145234,2.1933545680751365,0.6736387658830898
2006-07,8.20585994120757,1.762617571517929,3.5024412110882026,0.613863540125296,0.3900293982440145,0.4699882557494061,25.29563677904685,7.368841253510664,10.645828157513096,1.8261224746191567,2.0957702027302525,0.6693891308760667
2007-08,8.265964747359295,1.8173214728100258,3.5772167167497235,0.6145795680455344,0.4145248669974259,0.4766728120536963,23.496027328906685,7.728802243952363,10.798803401922763,1.8844059098306185,2.0271152548694915,0.6696084731558091
2008-09,8.502686441272907,1.7700096281035094,3.6206581718335378,0.6246540322028599,0.4322851927650778,0.48369461625575516,23.613550285810728,7.726581032521189,10.312807713249512,1.7298694117332214,1.9003125627252841,0.6934949197522263
2009-10,8.571000850199246,1.802559435806648,3.656614734763378,0.6253053206494775,0.42779946825913623,0.48724212230706443,23.576825574388046,7.395185501272567,10.621086915969972,1.7331299864772778,1.8328517858025797,0.6519390409562994
2010-11,8.205431963233966,1.7665413158701375,3.5547585334786307,0.6188304804289123,0.42225656919957244,0.4773831746959942,23.29122260345908,7.9562990019306294,10.576805023248058,1.7130285778525245,1.870635388576897,0.6403333605318193
2011-12,7.928388396443871,1.7442725652787585,3.5630642497266085,0.6537486706542219,0.42691365038777834,0.4648502581793837,22.186669163771494,7.526229255381347,10.348875913587829,1.7853663136500242,1.8680292236790617,0.6244454057466706
2012-13,7.957710656448379,1.8078103172098414,3.521432550454381,0.6426262367950315,0.4218489798093006,0.4718703959686275,21.83698301526374,7.579772997604228,10.884717231693388,1.8333314393949813,1.9585578675920192,0.6503471954722041
2013-14,8.089971266618683,1.7806162548877096,3.521926308862186,0.6317168834569119,0.3913241354186028,0.4789966147560682,23.272911969812675,7.558339293352271,10.686549713278021,1.8186287006967934,1.8092750824950954,0.6840099434809029
2014-15,8.120720654318614,1.817643135972938,3.5457001832703146,0.6482981600551665,0.3893735239164717,0.47631447357572143,22.910334169260317,7.4684279705393495,10.574202852786545,1.8190211507788772,1.9385468346801276,0.6925791316015826
2015-16,8.346670459414037,1.8239658926546267,3.622306816589974,0.6514755814833839,0.4127414465718465,0.4904276105838786,23.60028662884223,7.500814508464705,10.458535004384624,1.8738873050238947,1.8771311027249074,0.6641895455174411
2016-17,8.425541152213453,1.829911523778629,3.5620473408879514,0.6257060492948606,0.39015298617628213,0.49243394509657284,25.750500655275545,7.564012862801287,10.971463037723161,1.7104373249164495,1.8021043782024306,0.6891162952564254
2017-18,8.158939393483426,1.8154990142935856,3.3752512179987475,0.6149432809962007,0.36961272435373016,0.49856228104474265,24.837926591322322,7.318676676426247,10.9925987134585,1.796280895165029,1.674325284953061,0.8222142075991101
2018-19,8.614157419935443,1.918579758593017,3.6131342362232317,0.6153653840348743,0.3900846912440847,0.500298422549425,26.042589991581384,7.7346321467690515,11.499105703990011,1.7514625330317124,1.7774434694558194,0.7395443969338837
2019-20,8.726126895930191,1.919317102847414,3.6301865376195637,0.6186732598623872,0.3962806187643475,0.5071297988407601,26.734570999683307,7.587458754556023,11.386814009155515,1.6742516775924734,1.8452129344787036,0.7258633881079689
2020-21,8.940973591668099,1.9848527575390167,3.6336527282028395,0.6172459593601707,0.41215427024178003,0.5132365790136549,26.960495281176843,7.881489309195421,10.901723784603822,1.6120612419864273,1.7072611139412697,0.7321518881598021
2021-22,8.236464676426653,1.8661106279914341,3.445018663307429,0.6069336448185112,0.36915668012541564,0.4944069454736028,26.880666526504122,7.911554868624322,11.101891643963604,1.7417920627205923,1.6960998771408966,0.7935943063910775
2022-23,9.11882115740879,2.0680591736791576,3.5408906303063032,0.6074710017465152,0.3800691296075904,0.5318715037765884,28.36856752987502,8.085315513610231,10.47154268884356,1.7046559290346976,1.7361777554869477,0.78660627348709
